Tweets_name,Tweets_url,Tweets_twitterhandle,Tweets_twitterhandle_url,Tweets_tweet,Tweets_replies,Tweets_retweets,Tweets_likes,Tweets_Dateoftweet,Tweets_Dateoftweet_url,Tweets_Verified,Tweets_Verified_url
Box Office Collection,https://twitter.com/BOCIndia,BOCIndia,https://twitter.com/BOCIndia,Movie Review: #BadrinathKiDulhania is a Delightful Family Entertainer (3.5/5 Stars) https://shar.es/1UZNmi,"Reply
11","Retweet
55","Like
540",12 Mar 2017,https://twitter.com/BOCIndia/status/841023109926928384,,
Zohra Gilani,https://twitter.com/gilani_zohra,gilani_zohra,https://twitter.com/gilani_zohra,"Watched #BadrinathKiDulhania n saw d hottest,cuttest n classiest @GAUAHAR_KHAN as police officer.Great wrk gau,ur voice ur expression superb","Reply
6","Retweet
38","Like
257",12 Mar 2017,https://twitter.com/gilani_zohra/status/841001716573208576,,
ARMAAN MALIK,https://twitter.com/ArmaanMalik22,ArmaanMalik22,https://twitter.com/ArmaanMalik22,.@Varun_dvn & @aliaa08 you both have truly slayed in #BadrinathKiDulhania but however the real hero is @ShashankKhaitan! SUPERB FILM!,"Reply
132","Retweet
460","Like
1.8K",12 Mar 2017,https://twitter.com/ArmaanMalik22/status/840993212525367298,Verified account,https://twitter.com/ArmaanMalik22
Bollywood Hungama,https://twitter.com/Bollyhungama,Bollyhungama,https://twitter.com/Bollyhungama,#Boxoffice update @Varun_dvn & @aliaa08 's #BadrinathKiDulhania sees further growth; to end Day 3 around 16-17 cr,"Reply
1","Retweet
33","Like
147",12 Mar 2017,https://twitter.com/Bollyhungama/status/840951180247330817,Verified account,https://twitter.com/Bollyhungama
Raj Nayak,https://twitter.com/rajcheerfull,rajcheerfull,https://twitter.com/rajcheerfull,Congratulations @aliaa08 @Varun_dvn @ShashankKhaitan @karanjohar for @BKDMovie #BadrinathKiDulhania. #BoxOffice Hit che ! @DharmaMovies,"Reply
10","Retweet
84","Like
300",12 Mar 2017,https://twitter.com/rajcheerfull/status/840926678343802880,Verified account,https://twitter.com/rajcheerfull
Alia Bhatt,https://twitter.com/aliaa08,aliaa08,https://twitter.com/aliaa08,Thank you for the love!!!!! It really really really means a lot!!! #BadrinathKiDulhania @Varun_dvn @ShashankKhaitan @karanjohar,"Reply
559","Retweet
1.3K","Like
11K",12 Mar 2017,https://twitter.com/aliaa08/status/840925475451088896,Verified account,https://twitter.com/aliaa08
Movified Bollywood,https://twitter.com/MovifiedBolly,MovifiedBolly,https://twitter.com/MovifiedBolly,.@Varun_dvn and @aliaa08 at #PVR. #BadrinathKiDulhania,Reply,"Retweet
73","Like
145",12 Mar 2017,https://twitter.com/MovifiedBolly/status/840914746022883328,,
Varun Dhawan,https://twitter.com/Varun_dvn,Varun_dvn,https://twitter.com/Varun_dvn,#BadrinathKiDulhania thank u for the catch us in the theatre,"Reply
443","Retweet
1.1K","Like
7.6K",12 Mar 2017,https://twitter.com/Varun_dvn/status/840906159674531848,Verified account,https://twitter.com/Varun_dvn
Desimartini,https://twitter.com/DMmovies,DMmovies,https://twitter.com/DMmovies,"AUDIENCE REVIEW
""What a brilliant stand for every Indian girl – #BadrinathKiDulhania!"" says MJ @deo26!
4.0 stars
http://www.desimartini.com/reviews/rahul-bharadwaj-badrinath-ki-dulhania/rd34744md4994.htm?utm_source=twitter&utm_medium=referral&utm_campaign=twitter_martinishots …","Reply
10","Retweet
126","Like
1.1K",12 Mar 2017,https://twitter.com/DMmovies/status/840889761724227584,Verified account,https://twitter.com/DMmovies
RJ ALOK,https://twitter.com/OYERJALOK,OYERJALOK,https://twitter.com/OYERJALOK,"Collection : #BadrinathKiDulhania
Fri 12.25 cr,
Sat 14.75 cr.
Total: 27 Cr
Sunday seems Bigger ! @karanjohar @aliaa08 @Varun_dvn #RjAlok","Reply
1","Retweet
76","Like
113",11 Mar 2017,https://twitter.com/OYERJALOK/status/840817067037192192,Verified account,https://twitter.com/OYERJALOK
